Variabelenaam
KLGGA208
KLGGA207
KLGGB201
CALGA260
CALGS260
CALGA264
CALGA265
CALGA263
CALGS267
CALGS268
LGCOF201
LGCOAA202
LGCOA201
LGCOA202
LGCOS201
LGCOF203
LGCOF204
LGCOAA205
LGCOAA206
LGCOAA207
LGCOAA208
LGCOF209
LGCOF210
LGCOF211
LGCOAA212
LGCOAA213
LGCOAA214
LGBPS209
LGBPS203
LGBPS204
LGBPS205
LGBPB201
LGBPB202
LGBPB203
LGBPB204
LGBPB205
LGBPB206
LGBPB207
GGRLS203
GGRLB201_cat
GGRLB202_cat
GGRLB203_cat
GGRLB204_cat
GGRLB205_cat
GGRLB206_cat
GGRLB207_cat
GGADA202
GGADA201
GGADB201_cat
GGADB202_cat
GGADB203_cat
GGADB204_cat
GGADB205_cat
GGADB206_cat
GGADB207_cat
GGADB208_cat
GGADB209_cat
GGADB210_cat
GGSTS1
GGSTS16
GGSTS14
GGSTS15
GGSTS2
GGSTS3
GGSTS4
GGSTS5
GGSTS6
GGSTS7
GGSTS8
GGSTS9
GGSTS10
GGSTS11
GGSTS12
GGSTS13
LFRKA205
LFRKA206
LFRKA207
LFRKA209
LFALA217
LFALA218
LFALA213
LFALS230
LFALS231
LFALB213dich
Norm_aanv_alcgeb_dich
LFALS232x
LFALS233
LFALS232
normglznwk2015
normglzndag2015
KI_RLBEW2017
KIsporter
AGGWS206
AGGWS207
AGGWS204
AGGWS205
WOGHBA203
WOGHBA206
WOGHBA209
WOGHBA212
WOGHBA215
WOGHBA218
WOGHBA221
WOGHBA224
WOGHBA202
WOGHBA205
WOGHBA208
WOGHBA211
WOGHBA214
WOGHBA217
WOGHBA220
WOGHBA223
GGEES217
GGEES209
GGEES208
GGEES218
GGEES219
GGEEB201
GGEEB202
GGEEB203
GGEEB204
GGEEB205
GGEEB206
GGEEB207
GGEEB208
GGEEB209
GGEEB210
GGEEB211
MMVWA201
MCMZGA205
MCMZGA206
MCMZGS203
mzduurint
MCMZGBA204
MCMZGS202
MCMZGS204
MCMZGS204_ZeeBra
MCMZGS206
MCMZGS206_ZeeBra
MCMZGA201
MCMZGA202
MMOWA202
MMOWA201
MMOWB201
MMWSA205
MMWSA208
MMWSA207
MMWSA206
MMWSA210
MMWSA211
MMWSA212
MMWSA213
MMWSA214
MMWSB202
MMWSB203
MMWSB204
MMWSB205
MMWSB206
MMWSB207
MMWSB208
MMWSB209
MMWSB210
MMWSB211
inkkwin_2020
Geslacht
leeftijdcat4v
leeftijdcat3v
Lftklassen
etnicat
Generatie
Migratieachtergrond
AGHHA202
AGHHA203
AGHHS203
AGHHS201
AGHHAA203
AGHHAA212
AGHHAA207
AGHHAA208
AGHHAA209
AGHHAA210
AGHHAA211
