Variabelenaam
KLGGA208
KLGGA207
KLGGB201
CALGA260
CALGS260
CALGA264
CALGA265
CALGA263
CALGS267
CALGS268
LGCOF201
LGCOAA202
LGCOA201
LGCOA202
LGCOS201
LGCOF203
LGCOF204
LGCOAA205
LGCOAA206
LGCOAA207
LGCOAA208
LGCOF209
LGCOF210
LGCOF211
LGCOAA212
LGCOAA213
LGCOAA214
nietallesdoen
LGBPS209
LGBPS203
LGBPS204
LGBPS205
LGBPB201
LGBPB202
LGBPB203
LGBPB204
LGBPB205
LGBPB206
LGBPB207
ZELFSTANDIGDOEN5
ZELFSTANDIGDOEN6
ZELFSTCONTACT
GGRLS203
GGRLB201_cat
GGRLB202_cat
GGRLB203_cat
GGRLB204_cat
GGRLB205_cat
GGRLB206_cat
GGRLB207_cat
nietgeluk
GELUK
gevoelensblij
gevoelensneutraal
gevoelenssomber
ggkls203
MHI5_2c
ggklb209_dich
ggklb210_dich
ggklb211_dich
ggklb213_dich
ggklb214_dich
GGADA202
GGADA201
GGADB201_cat
GGADB202_cat
GGADB203_cat
GGADB204_cat
GGADB205_cat
GGADB206_cat
GGADB207_cat
GGADB208_cat
GGADB209_cat
GGADB210_cat
zin1_dich
zin2_dich
zin3_dich
TELLEN_dich
GGSTS1
GGSTS16
GGSTS14
GGSTS15
GGSTS2
GGSTS3
GGSTS4
GGSTS5
GGSTS6
GGSTS7
GGSTS8
GGSTS9
GGSTS10
GGSTS11
GGSTS12
GGSTS13
GGSUS201
GGSUS202
LFRKA205
LFRKA206
LFRKA207
LFRKA209
LFALA217
LFALA218
LFALA213
LFALS230
LFALS231
LFALB213dich
Norm_aanv_alcgeb_dich
LFALS232x
LFALS233
LFALS232
normglznwk2015
normglzndag2015
Softdrugsja
Harddrugsja
normaal_softdrugstotaal
NORM_CANNABIS
NORM_LACHGAS
NORM_SOFTDRUGS
normaal_harddrugstotaal
NORM_XTCGHB
NORM_AMF
NORM_COCA
NORM_HARDDRUGS
KI_RLBEW2017
KIsporter
AGGWS206
AGGWS207
AGGWS204
AGGWS205
Hindergeluid_2020
Matighindergeluid_2020
WOGHBA203
WOGHBA206
WOGHBA209
WOGHBA212
WOGHBA215
WOGHBA218
WOGHBA221
WOGHBA224
WOGHBA227
WOGHBA202
WOGHBA205
WOGHBA208
WOGHBA211
WOGHBA214
WOGHBA217
WOGHBA220
WOGHBA223
WOGHBA226
Slaapverstoring5_2020
Matigslaapverstoring5_2020
Slaapverstoring7_2020
Matigslaapverstoring7_2020
WOSLFA203
WOSLFA206
WOSLFA209
WOSLFA212
WOSLFA221
WOSLFA215
WOSLFA218
WOSLFA202
WOSLFA205
WOSLFA208
WOSLFA211
WOSLFA220
WOSLFA214
WOSLFA217
WOSLF209
WOSLF210
WOSLF211
WOSLF212
WOSLF213
WOSLF214
WOSLF215
WOSLF216
WOSLF217
Hindergeur
Matighindergeur
WOGRFA203
WOGRBA203
ernstighinder_rook
WOGRBA209
WOGRBA212
WOGRFA212
WOGRFA215
WOGRFA218
WOGRFA221
WOGRBA215
WOGRFA202
WOGRBA202
hinder_rook
WOGRBA208
WOGRBA211
WOGRFA211
WOGRFA214
WOGRFA217
WOGRFA220
WOGRBA214
Hinderstof
Matighinderstof
MISRFA203
MISRFA206
MISRFA209
MISRFA212
ernstigestofhinder_scheepvaart
MISRFA218
MISRFA202
MISRFA205
MISRFA208
MISRFA211
stofhinder_scheepvaart
MISRFA217
MLRBA208_2020
WORBFAA220
WORBBAA207
WORBBAA210
WORBFAA224
WORBBAA208
WORBFAA228
WORBBAA225
WORBFAA222
WORBBAA223
WORBFAA219
WORBFAA229
WORBFAA209
WORBFAA221
VEEHOUDERIJ1
VEEHOUDERIJ2
VEEHOUDERIJ3
VEEHOUDERIJ4
VEEHOUDERIJ5
VEEHOUDERIJ10
VEEHOUDERIJ11
BEZORGD1
BEZORGD2
BEZORGD3
BEZORGD5
BEZORGD6
BEZORGD4
onvoldoendewoning
KOELEWONING
SCHIMMELWONING
WOLOS203
uitspraakbuurt1_cat
uitspraakbuurt2_cat
uitspraakbuurt3_cat
uitspraakbuurt4_cat
uitspraakbuurt5_cat
uitspraakbuurt6_cat
uitspraakbuurt7_cat
WOLOS205
contactburen
MMSCA203
ACTIEFBUURT
GEMBETREKTBUURT
MEDEVERANTW
onveiliggevoel
WOSVHS201
WOSVHS202
MMHGB201
GGEES217
GGEES209
GGEES208
GGEES218
GGEES219
GGEEB201
GGEEB202
GGEEB203
GGEEB204
GGEEB205
GGEEB206
GGEEB207
GGEEB208
GGEEB209
GGEEB210
GGEEB211
MMVWA201
lid
lidsport
MCMZGA205
MCMZGA206
MCMZGS203
mzduurint
MCMZGBA204
MCMZGS202
MCMZGS204
MCMZGS204_ZeeBra
MCMZGS206
MCMZGS206_ZeeBra
MCMZGA201
MCMZGA202
ontvangthulp
HULPGEZONDHEID2
HULPGEZONDHEID3
HULPGEZONDHEID4
HULPOMGEVING3
HULPOMGEVING1
HULPOMGEVING2
moeilijkhulpvragen
ergmoeilijkhulpvragen
wmoja2020
VOORZIENING16
VOORZIENING5
VOORZIENING15
VOORZIENING6
VOORZIENING7
wmoinfo2020
MMOWA202
MMOWA201
MMOWB201
MMWSA205
MMWSA208
MMWSA207
MMWSA206
MMWSA210
MMWSA211
MMWSA212
MMWSA213
MMWSA214
MMWSB202
MMWSB203
MMWSB204
MMWSB205
MMWSB206
MMWSB207
MMWSB208
MMWSB209
MMWSB210
MMWSB211
inkkwin_2020
MMIKA201
MMIKB201
SCHULDEN
MMIKA212
BEZUINIGING11
BEZUINIGING1
BEZUINIGING2
BEZUINIGING3
BEZUINIGING4
BEZUINIGING5
BEZUINIGING6
BEZUINIGING7
BEZUINIGING8
BEZUINIGING9
BEZUINIGING10
BEZUINIGING12
AFGEZIENZORG
SUINDEXhoog
SUDIM1SOPhoog
SUDIM2MDPhoog
SUMDPB201
SUMDPB202
SUMDPB203
SUDIM3SGRhoog
wolof204_3c
SUDIM4NINhoog
SUNINB201
SUNINB202
SUNINB203
suninb204_3c
suninb205_2c
Geslacht
leeftijdcat4v
